"Rank","Country","Forexres","Date","Change","Sources","NA","NA","newdate"
"Uruguay","15,449","1 Mar 2024","1.176","15,441","1 Mar 2024","11","[70]","1.176"
"Lebanon","14,738","1 Mar 2024","692","data not available","1 Mar 2024","data not available","[71]","692"
"Dominican Republic","14,371","1 Mar 2024","1,145","data not available","1 Mar 2024","data not available","[72]","1,145"
"Angola","14,200","15 Mar 2024","40","data not available","15 Mar 2024","data not available","[73]","40"
"Costa Rica","13,200","1 Mar 2024","320","data not available","1 Mar 2024","data not available","[74]","320"
"Ireland","12,599","1 Mar 2024","130","11,874","1 Mar 2024","2","[75]","130"
"Azerbaijan","11,650","1 Mar 2024","142","data not available","1 Mar 2024","data not available","[76]","142"
"Ivory Coast","9,800","1 Mar 2024","18","data not available","1 Mar 2024","data not available","[77]","18"
"Paraguay","9,707","1 Mar 2024","805","9,168","1 Mar 2024","7","[78]","805"
"Bosnia and Herzegovina","8,711","1 Mar 2024","391","data not available","1 Mar 2024","data not available","[79]","391"
"Tunisia","8,623","21 Mar 2024","539","data not available","21 Mar 2024","data not available","[80]","539"
"North Korea","9,109","1 Mar 2024","73","data not available","1 Mar 2024","data not available","[81]","73"
"Pakistan","8,895","21 Jun 2024","239","data not available","21 Jun 2024","data data not available","[82]","239"
"Finland","7,995","1 Mar 2024","22","data not available","1 Mar 2024","data not available","[83]","22"
"Slovakia","7,650","1 Mar 2024","441","data not available","1 Mar 2024","data not available","[84]","441"
"Honduras","7,390","21 Mar 2024","580","data not available","21 Mar 2024","data not available","[85]","580"
"Tanzania","7,022","22 Mar 2024","600","data not available","22 Mar 2024","data not available","[86]","600"
"Iceland","6,847","15 Mar 2024","24","6,668","15 Mar 2024","9","[87]","24"
"Myanmar","6,700","1 Mar 2024","800","data not available","1 Mar 2024","data not available","[88]","800"
"Moldova","6,390","11 Mar 2024","600","data not available","11 Mar 2024","data not available","[89]","600"
"Afghanistan","6,228","1 Mar 2024","60","data not available","1 Mar 2024","data not available","[90]","60"
"Panama","6,143","1 Mar 2024","200","data not available","1 Mar 2024","data not available","[91]","200"
"Venezuela","5,908","1 Mar 2024","776","data not available","1 Mar 2024","data not available","[92]","776"
"Trinidad and Tobago","5,800","18 Mar 2024","44","data not available","18 Mar 2024","data not available","[93]","44"
"Sri Lanka","5,642","31 Jun 2024","242","data not available","31 Jun 2024","data not available","[94]","242"
"Mauritius","5,591","1 Mar 2024","196","5,497","1 Mar 2024","27","[95]","196"
"Bahrain","5,500","25 Mar 2024","128","data not available","25 Mar 2024","data not available","[96]","128"
"Albania","5,290","31 Apr 2024","200","5,290","31 Apr 2024","47","[97]","200"
"Georgia","5,224","25 Mar 2024","90","data not available","25 Mar 2024","data not available","[98]","90"
"Mongolia","5,120","20 Mar 2024","500","data not available","20 Mar 2024","data not available","[99]","500"
"Botswana","5,080","1 Mar 2024","267","data not available","1 Mar 2024","data not available","[100]","267"
"Jamaica","4,921","5 Mar 2024","300","data not available","5 Mar 2024","data not available","[101]","300"
"Lithuania","4,900","1 Mar 2024","440","data not available","1 Mar 2024","data not available","[102]","440"
"Vatican City","4,339","1 Mar 2024","950","data not available","1 Mar 2024","data not available","[103]","950"
"Armenia","4,298","25 Mar 2024","600","data not available","25 Mar 2024","data not available","[104]","600"
"Nicaragua","3,980","1 Mar 2024","1,100","data not available","1 Mar 2024","data not available","[105]","1,100"
"Greece","3,926","1 Mar 2024","107","3,869","1 Mar 2024","8","[106]","107"
"Latvia","3,913","1 Mar 2024","13","data not available","1 Mar 2024","data not available","[107]","13"
"Uganda","3,700","1 Mar 2024","259","data not available","1 Mar 2024","data not available","[108]","259"
"Andorra","3,689","20 Mar 2024","11","data not available","20 Mar 2024","data not available","[109]","11"
"Brunei","3,664","1 Mar 2024","107","data not available","1 Mar 2024","data not available","[110]","107"
"Cameroon","3,459","1 Mar 2024","180","data not available","1 Mar 2024","data not available","[111]","180"
"Ethiopia","3,430","1 Mar 2024","170","data not available","1 Mar 2024","data not available","[112]","170"
"Ghana","3,368","1 Mar 2024","452","data not available","1 Mar 2024","data not available","[113]","452"
"Ecuador","3,305","1 Mar 2024","747","data not available","1 Mar 2024","data not available","[114]","747"
"Belarus","8,697","31 Aug 2024","165","4,333","31 Aug 2024","data not available","[115]","165"
"Kyrgyzstan","2,976","1 Mar 2024","193","data not available","1 Mar 2024","data not available","[116]","193"
"Croatia","2,935","1 Mar 2024","159","data not available","1 Mar 2024","data not available","[117]","159"
"Slovenia","2,519","1 Mar 2024","062","data not available","1 Mar 2024","data not available","[118]","062"
"El Salvador","2,510","1 Mar 2024","39","data not available","1 Mar 2024","data not available","[119]","39"
"Cuba","2,500","15 Mar 2024","10,391","data not available","15 Mar 2024","data not available","[120]","10,391"
"Kenya","2,490","5 Mar 2024","1,073","data not available","1 Mar 2024","data not available","[121]","1,073"
"Papua New Guinea","2,339","1 Mar 2024","500","data not available","1 Mar 2024","data not available","[122]","500"
"Haiti","2,296","1 Mar 2024","1,256","data not available","1 Mar 2024","data not available","[123]","1,256"
"Estonia","2,065","1 Mar 2024","145","data not available","1 Mar 2024","data not available","[124]","145"
"Namibia","2,019","1 Mar 2024","25","data not available","1 Mar 2024","data not available","[125]","25"
"Bahamas","1,758","1 Mar 2024","85","data not available","1 Mar 2024","data not available","[126]","85"
"Bolivia","1,769","1 Mar 2024","471","data not available","1 Mar 2024","data not available","[127]","471"
"Madagascar","1,620","19 Mar 2024","127","data not available","19 Mar 2024","data not available","[128]","127"
"Montenegro","1,558","1 Mar 2024","26","data not available","1 Mar 2024","data not available","[129]","26"
"Mauritania","1,493","1 Mar 2024","37","data not available","1 Mar 2024","data not available","[130]","37"
"Tajikistan","1,482","1 Mar 2024","19","data not available","1 Mar 2024","data not available","[131]","19"
"Rwanda","1,458","1 Mar 2024","7","data not available","1 Mar 2024","data not available","[132]","7"
"Zambia","1,433","1 Mar 2024","16","data not available","1 Mar 2024","data not available","[133]","16"
"Guinea","1,425","15 Mar 2024","33","data not available","15 Mar 2024","data not available","[134]","33"
"Gabon","1,377","1 Mar 2024","90","data not available","1 Mar 2024","data not available","[135]","90"
"Cyprus","1,271","1 Mar 2024","200","data not available","1 Mar 2024","data not available","[136]","200"
"Luxembourg","1,119","5 Mar 2024","34","data not available","5 Mar 2024","data not available","[137]","34"
"Laos","1,099","1 Mar 2024","23","data not available","1 Mar 2024","data not available","[138]","23"
"Curaçao","1,080","20 Mar 2024","30","data not available","20 Mar 2024","data not available","[139]","30"
"Fiji","1,065","5 Mar 2024","22","data not available","5 Mar 2024","data not available","[140]","22"
"Niger","1,053","1 Mar 2024","24","data not available","1 Mar 2024","data not available","[141]","24"
"Aruba","1,017","15 Mar 2024","30","data not available","15 Mar 2024","data not available","[142]","30"
"Bhutan","972","10 Mar 2024","3","data not available","10 Mar 2024","data not available","[143]","3"
"Kosovo","950","1 Mar 2024","15","data not available","1 Mar 2024","data not available","[144]","15"
"Malta","937","20 Mar 2024","9","data not available","20 Mar 2024","data not available","[145]","9"
"Lesotho","785","1 Mar 2024","11","data not available","1 Mar 2024","data not available","[146]","11"
"Barbados","770","1 Mar 2024","2","data not available","1 Mar 2024","data not available","[147]","2"
"Cape Verde","712","1 Mar 2024","25","data not available","1 Mar 2024","data not available","[148]","25"
"San Marino","716","1 Mar 2024","243","data not available","1 Mar 2024","data not available","[149]","243"
"Gambia","698","1 Mar 2024","6","data not available","1 Mar 2024","data not available","[150]","6"
"Palestine","671","1 Mar 2024","12","data not available","1 Mar 2024","data not available","[151]","12"
"Timor-Leste","654","1 Mar 2024","2","data not available","1 Mar 2024","data not available","[152]","2"
"Suriname","647","8 Mar 2024","30","data not available","8 Mar 2024","data not available","[153]","30"
"Sierra Leone","624","2 Mar 2024","2","data not available","2 Mar 2024","data not available","[154]","2"
"Mali","604","1 Mar 2024","19","data not available","1 Mar 2024","data not available","[155]","19"
"Maldives","588","1 Mar 2024","180","data not available","1 Mar 2024","data not available","[156]","180"
"Guyana","553","10 Mar 2024","20","data not available","10 Mar 2024","data not available","[157]","20"
"Solomon Islands","551","8 Mar 2024","24","data not available","8 Mar 2024","data not available","[158]","24"
"Seychelles","546","1 Mar 2024","19","data not available","1 Mar 2024","data not available","[159]","19"
"Vanuatu","509","1 Mar 2024","2","data not available","1 Mar 2024","data not available","[160]","2"
"Democratic Republic of the Congo","505","14 Mar 2024","160","data not available","14 Mar 2024","data not available","[161]","160"
"Djibouti","504","1 Mar 2024","3","data not available","1 Mar 2024","data not available","[162]","3"
"Malawi","488","1 Mar 2024","17","data not available","1 Mar 2024","data not available","[163]","17"
"Eswatini","467","1 Mar 2024","27","data not available","1 Mar 2024","data not available","[164]","27"
"Republic of the Congo","443","1 Mar 2024","20","data not available","1 Mar 2024","data not available","[165]","20"
"Syria","401","1 Mar 2024","16","data not available","1 Mar 2024","data not available","[166]","16"
"Federated States of Micronesia","395","1 Mar 2024","2","data not available","1 Mar 2024","data not available","[167]","2"
"Central African Republic","375","1 Mar 2024","14","data not available","1 Mar 2024","data not available","[168]","14"
"Saint Kitts and Nevis","365","1 Mar 2024","14","data not available","1 Mar 2024","data not available","[169]","14"
"Liberia","342","1 Mar 2024","7","data not available","1 Mar 2024","data not available","[170]","7"
"Guinea-Bissau","329","1 Mar 2024","3","data not available","1 Mar 2024","data not available","[171]","3"
"Antigua and Barbuda","285","1 Mar 2024","6","data not available","1 Mar 2024","data not available","[172]","6"
"Belize","281","1 Mar 2024","4","data not available","1 Mar 2024","data not available","[173]","4"
"Saint Lucia","258","1 Mar 2024","2","data not available","1 Mar 2024","data not available","[174]","2"
"Yemen","250","1 Mar 2024","5","data not available","1 Mar 2024","data not available","[175]","5"
"Grenada","247","1 Mar 2024","11","data not available","1 Mar 2024","data not available","[176]","11"
"Tonga","226","1 Mar 2024","3","data not available","1 Mar 2024","data not available","[177]","3"
"Togo","208","1 Mar 2024","7","data not available","1 Mar 2024","data not available","[178]","7"
"Comoros","197","1 Mar 2024","5","data not available","1 Mar 2024","data not available","[179]","5"
"Saint Vincent and the Grenadines","192","1 Mar 2024","1","data not available","1 Mar 2024","data not available","[180]","1"
"Eritrea","189","1 Mar 2024","2","data not available","1 Mar 2024","data not available","[181]","2"
"Samoa","188","1 Mar 2024","3","data not available","1 Mar 2024","data not available","[182]","3"
"São Tomé and Príncipe","186","1 Mar 2024","2","data not available","1 Mar 2024","data not available","[183]","2"
"Sudan","172","1 Mar 2024","5","data not available","1 Mar 2024","data not available","[184]","5"
"Dominica","168","1 Mar 2024","6","data not available","1 Mar 2024","data not available","[185]","6"
"Senegal","164","1 Mar 2024","12","data not available","1 Mar 2024","data not available","[186]","12"
"Zimbabwe","159","1 Mar 2024","8","data not available","1 Mar 2024","data not available","[187]","8"
"Chad","143","1 Mar 2024","4","data not available","1 Mar 2024","data not available","[188]","4"
"Burundi","105","1 Mar 2024","6","data not available","1 Mar 2024","data not available","[189]","6"
"South Sudan","80","2 Mar 2024","7","data not available","2 Mar 2024","data not available","[190]","7"
"Benin","69","1 Mar 2024","9","data not available","1 Mar 2024","data not available","[191]","9"
"Montserrat","54","1 Mar 2024","5","data not available","1 Mar 2024","data not available","[192]","5"
"Equatorial Guinea","46","1 Mar 2024","2","data not available","1 Mar 2024","data not available","[193]","2"
"Burkina Faso","42","1 Mar 2024","3","data not available","1 Mar 2024","data not available","[194]","3"
"Somalia","37","1 Mar 2024","5","data not available","1 Mar 2024","data not available","[195]","5"
"Kiribati","8","1 Mar 2024","2","data not available","1 Mar 2024","data not available","[196]","2"
